年月別,商品性質別分類,原始值,年增率[%]
92年5月,商品類[含食物],81.43,2.4
92年5月,商品類[不含食物],101.91,1.69
92年5月,商品類-非耐久性消費品[含食物],68.26,2.06
92年5月,商品類-非耐久性消費品[不含食物],86.05,-0.39
92年5月,商品類-半耐久性消費品,101.67,6.35
92年5月,商品類-耐久性消費品,135.54,-0.91
92年5月,服務類,87,-0.51
92年5月,服務類[不含食物],89.12,-0.39
92年5月,服務類-外食費,77.2,-1.14
92年5月,服務類-衣著,83.69,-3.04
92年5月,服務類-居住,95.53,-1.48
92年5月,服務類-交通及通訊,95.6,-0.64
92年5月,服務類-醫藥保健,82.98,7.35
92年5月,服務類-教養娛樂,75.03,1.65
92年5月,服務類-教養,90.87,-1.09
92年5月,服務類-娛樂,61.46,5.2
92年5月,服務類-雜項,90.5,-1.45
92年6月,總指數[含食物],83.88,-0.78
92年6月,商品類[含食物],79.75,-0.51
92年6月,商品類[不含食物],100.14,-0.81
92年6月,商品類-非耐久性消費品[含食物],67.49,-0.25
92年6月,商品類-非耐久性消費品[不含食物],87.05,-0.87
92年6月,商品類-半耐久性消費品,96.21,0.88
92年6月,商品類-耐久性消費品,132.85,-3.56
92年6月,服務類,86.91,-1.01
92年6月,服務類[不含食物],89.33,-0.61
92年6月,服務類-外食費,75.74,-3.01
92年6月,服務類-衣著,83.69,-3.04
92年6月,服務類-居住,95.64,-1.49
92年6月,服務類-交通及通訊,94.99,-1.79
92年6月,服務類-醫藥保健,82.81,7.13
92年6月,服務類-教養娛樂,75.29,1.17
92年6月,服務類-教養,91.61,-0.28
92年6月,服務類-娛樂,61.33,3.13
92年6月,服務類-雜項,92.71,-0.35
92年7月,總指數[含食物],83.71,-1.06
92年7月,商品類[含食物],79.25,-1.2
92年7月,商品類[不含食物],98.77,-0.52
92年7月,商品類-非耐久性消費品[含食物],67.67,-1.36
92年7月,商品類-非耐久性消費品[不含食物],86.91,-0.26
92年7月,商品類-半耐久性消費品,90.36,-0.9
92年7月,商品類-耐久性消費品,135.02,-2.34
92年7月,服務類,86.99,-1.04
92年7月,服務類[不含食物],89.62,-0.46
92年7月,服務類-外食費,74.84,-4.04
92年7月,服務類-衣著,83.69,-3.04
92年7月,服務類-居住,95.43,-1.41
92年7月,服務類-交通及通訊,95.96,-1.06
92年7月,服務類-醫藥保健,82.81,7.13
92年7月,服務類-教養娛樂,76.95,1.1
92年7月,服務類-教養,92.17,0.33
92年7月,服務類-娛樂,63.87,2.37
92年7月,服務類-雜項,90.44,0.1
92年8月,總指數[含食物],83.98,-0.71
92年8月,商品類[含食物],79.65,-1.07
92年8月,商品類[不含食物],98.87,0.17
92年8月,商品類-非耐久性消費品[含食物],68.47,-1.44
92年8月,商品類-非耐久性消費品[不含食物],88.02,0.55
92年8月,商品類-半耐久性消費品,88.49,-1.15
92年8月,商品類-耐久性消費品,135.66,-1.31
92年8月,服務類,87.13,-0.55
92年8月,服務類[不含食物],89.79,0.1
92年8月,服務類-外食費,74.84,-3.9
92年8月,服務類-衣著,83.69,-3.04
92年8月,服務類-居住,95.31,-1.37
92年8月,服務類-交通及通訊,96.33,-0.77
92年8月,服務類-醫藥保健,82.81,7.13
92年8月,服務類-教養娛樂,77.63,3.16
92年8月,服務類-教養,92.17,0.27
92年8月,服務類-娛樂,65.1,6.95
92年8月,服務類-雜項,90.44,0.1
92年9月,總指數[含食物],84.35,-0.35
92年9月,商品類[含食物],80.09,0
92年9月,商品類[不含食物],98.84,0.33
92年9月,商品類-非耐久性消費品[含食物],69.05,-0.01
92年9月,商品類-非耐久性消費品[不含食物],87.92,0.35
92年9月,商品類-半耐久性消費品,89.38,0.52
92年9月,商品類-耐久性消費品,134.48,-2.14
92年9月,服務類,87.46,-0.69
92年9月,服務類[不含食物],90.19,0.01
92年9月,服務類-外食費,74.85,-4.32
92年9月,服務類-衣著,83.69,-3.04
92年9月,服務類-居住,95.32,-1.55
92年9月,服務類-交通及通訊,95.84,-1.03
92年9月,服務類-醫藥保健,82.81,-0.31
92年9月,服務類-教養娛樂,78.59,5.55
92年9月,服務類-教養,93.07,1.25
92年9月,服務類-娛樂,66.09,11.06
92年9月,服務類-雜項,93.02,-1.69
92年10月,總指數[含食物],85.27,-0.14
92年10月,商品類[含食物],82.46,0.24
92年10月,商品類[不含食物],102.11,-1.09
92年10月,商品類-非耐久性消費品[含食物],69.5,1.3
92年10月,商品類-非耐久性消費品[不含食物],86.08,-0.21
92年10月,商品類-半耐久性消費品,101.58,-2.42
92年10月,商品類-耐久性消費品,136.5,-0.39
92年10月,服務類,87.36,-0.36
92年10月,服務類[不含食物],90.02,0.33
92年10月,服務類-外食費,75.02,-4.1
92年10月,服務類-衣著,83.69,-2.74
92年10月,服務類-居住,95.25,-1.38
92年10月,服務類-交通及通訊,95.78,-0.24
92年10月,服務類-醫藥保健,82.81,-0.31
92年10月,服務類-教養娛樂,78.85,5.18
92年10月,服務類-教養,93.07,1.25
92年10月,服務類-娛樂,66.56,10.22
92年10月,服務類-雜項,90.44,0.1
92年11月,總指數[含食物],84.89,-0.31
92年11月,商品類[含食物],81.56,-0.43
92年11月,商品類[不含食物],101.6,-1.17
92年11月,商品類-非耐久性消費品[含食物],68.43,-0.03
92年11月,商品類-非耐久性消費品[不含食物],85.41,-1.07
92年11月,商品類-半耐久性消費品,101.6,-1.6
92年11月,商品類-耐久性消費品,135.63,-0.43
92年11月,服務類,87.35,-0.19
92年11月,服務類[不含食物],90.06,0.59
92年11月,服務類-外食費,74.82,-4.36
92年11月,服務類-衣著,83.69,-2.17
92年11月,服務類-居住,95.19,-1.55
92年11月,服務類-交通及通訊,96.3,-0.04
92年11月,服務類-醫藥保健,83.02,-0.06
92年11月,服務類-教養娛樂,78.81,6.36
92年11月,服務類-教養,93.07,1.26
92年11月,服務類-娛樂,66.49,12.91
92年11月,服務類-雜項,90.54,0.21
92年12月,總指數[含食物],85.17,0.6
92年12月,商品類[含食物],81.74,0.57
92年12月,商品類[不含食物],101.19,-1.01
92年12月,商品類-非耐久性消費品[含食物],69.14,1.56
92年12月,商品類-非耐久性消費品[不含食物],86.08,-0.75
92年12月,商品類-半耐久性消費品,100.13,-1.11
92年12月,商品類-耐久性消費品,134.34,-1.26
92年12月,服務類,87.7,0.63
92年12月,服務類[不含食物],90.22,1.28
92年12月,服務類-外食費,76.08,-2.75
92年12月,服務類-衣著,83.69,5.75
92年12月,服務類-居住,94.95,-1.41
92年12月,服務類-交通及通訊,96.24,0.26
92年12月,服務類-醫藥保健,83.02,-0.06
92年12月,服務類-教養娛樂,79.83,8.79
92年12月,服務類-教養,93.07,1.22
92年12月,服務類-娛樂,68.32,18.59
92年12月,服務類-雜項,90.56,0.23
93年1月,總指數[含食物],86.13,1.19
93年1月,商品類[含食物],80.72,0.54
93年1月,商品類[不含食物],99.65,0.23
93年1月,商品類-非耐久性消費品[含食物],68.96,0.44
93年1月,商品類-非耐久性消費品[不含食物],86.64,-0.46
93年1月,商品類-半耐久性消費品,95.04,3.27
93年1月,商品類-耐久性消費品,133.14,-1.67
93年1月,服務類,90.08,1.61
93年1月,服務類[不含食物],93.21,2.54
93年1月,服務類-外食費,75.62,-3.34
93年1月,服務類-衣著,83.69,0
93年1月,服務類-居住,95.22,-1.23
93年1月,服務類-交通及通訊,97.22,0.47
93年1月,服務類-醫藥保健,83.02,-0.06
93年1月,服務類-教養娛樂,81.93,10.25
93年1月,服務類-教養,93.07,1.2
93年1月,服務類-娛樂,72.09,21.61
93年1月,服務類-雜項,119.31,9.34
93年2月,總指數[含食物],84.8,1.19
93年2月,商品類[含食物],81.1,2.53
93年2月,商品類[不含食物],99.31,0.75
93年2月,商品類-非耐久性消費品[含食物],69.97,3.37
93年2月,商品類-非耐久性消費品[不含食物],87.54,0.41
93年2月,商品類-半耐久性消費品,92.48,3.64
93年2月,商品類-耐久性消費品,133.16,-1.44
93年2月,服務類,87.53,0.34
93年2月,服務類[不含食物],89.79,0.68
93年2月,服務類-外食費,77.1,-1.44
93年2月,服務類-衣著,83.69,0
93年2月,服務類-居住,94.69,-1.21
93年2月,服務類-交通及通訊,96.42,0.43
93年2月,服務類-醫藥保健,84.61,1.85
93年2月,服務類-教養娛樂,78.42,5.66
93年2月,服務類-教養,93.07,2.01
93年2月,服務類-娛樂,65.78,10.17
93年2月,服務類-雜項,90.54,-0.92
93年3月,總指數[含食物],84.95,1.28
93年3月,商品類[含食物],81.66,2.55
93年3月,商品類[不含食物],99.37,-0.42
93年3月,商品類-非耐久性消費品[含食物],70.61,4.08
93年3月,商品類-非耐久性消費品[不含食物],87.42,-0.59
93年3月,商品類-半耐久性消費品,91.49,2.25
93年3月,商品類-耐久性消費品,135.07,-2.57
93年3月,服務類,87.37,0.44
93年3月,服務類[不含食物],89.8,0.81
93年3月,服務類-外食費,76.16,-1.51
93年3月,服務類-衣著,83.69,0
93年3月,服務類-居住,94.65,-1.16
93年3月,服務類-交通及通訊,96.33,0.66
93年3月,服務類-醫藥保健,84.61,1.96
93年3月,服務類-教養娛樂,78.56,5.46
93年3月,服務類-教養,92.67,1.98
93年3月,服務類-娛樂,66.37,9.72
93年3月,服務類-雜項,90.54,0.31
93年4月,總指數[含食物],86.07,1.26
93年4月,商品類[含食物],84.18,2.37
93年4月,商品類[不含食物],104.17,0.55
93年4月,商品類-非耐久性消費品[含食物],70.99,3.5
93年4月,商品類-非耐久性消費品[不含食物],87.86,0.7
93年4月,商品類-半耐久性消費品,106.19,2.19
93年4月,商品類-耐久性消費品,135.64,-1.38
93年4月,服務類,87.48,0.49
93年4月,服務類[不含食物],89.96,0.89
93年4月,服務類-外食費,76.01,-1.64
93年4月,服務類-衣著,83.69,0
93年4月,服務類-居住,94.49,-1.17
93年4月,服務類-交通及通訊,96.73,0.68
93年4月,服務類-醫藥保健,84.61,1.96
93年4月,服務類-教養娛樂,79.28,5.88
93年4月,服務類-教養,92.67,1.98
93年4月,服務類-娛樂,67.66,10.57
93年4月,服務類-雜項,90.54,0.12
93年5月,總指數[含食物],85.88,1.48
93年5月,商品類[含食物],83.56,2.62
93年5月,商品類[不含食物],103.79,1.84
93年5月,商品類-非耐久性消費品[含食物],70.42,3.16
93年5月,商品類-非耐久性消費品[不含食物],87.86,2.1
93年5月,商品類-半耐久性消費品,103.18,1.49
93年5月,商品類-耐久性消費品,138.07,1.87
93年5月,服務類,87.61,0.7
93年5月,服務類[不含食物],89.99,0.98
93年5月,服務類-外食費,76.58,-0.8
93年5月,服務類-衣著,83.69,0
93年5月,服務類-居住,94.41,-1.17
93年5月,服務類-交通及通訊,97.25,1.73
93年5月,服務類-醫藥保健,84.61,1.96
93年5月,服務類-教養娛樂,79.3,5.69
93年5月,服務類-教養,92.67,1.98
93年5月,服務類-娛樂,67.7,10.15
93年5月,服務類-雜項,90.54,0.04
93年6月,總指數[含食物],86.12,2.67
93年6月,商品類[含食物],83.41,4.59
93年6月,商品類[不含食物],103.55,3.41
93年6月,商品類-非耐久性消費品[含食物],70.89,5.04
93年6月,商品類-非耐久性消費品[不含食物],89.53,2.85
93年6月,商品類-半耐久性消費品,100.28,4.23
93年6月,商品類-耐久性消費品,137.32,3.36
93年6月,服務類,88.12,1.39
93年6月,服務類[不含食物],90.5,1.31
93年6月,服務類-外食費,77.14,1.85
93年6月,服務類-衣著,83.69,0
93年6月,服務類-居住,94.4,-1.3
93年6月,服務類-交通及通訊,97.47,2.61
93年6月,服務類-醫藥保健,84.61,2.17
93年6月,服務類-教養娛樂,80.14,6.44
93年6月,服務類-教養,92.39,0.85
93年6月,服務類-娛樂,69.43,13.21
93年6月,服務類-雜項,93.94,1.33
93年7月,總指數[含食物],87.09,4.04
93年7月,商品類[含食物],84.79,6.99
93年7月,商品類[不含食物],101.88,3.15
93年7月,商品類-非耐久性消費品[含食物],73.77,9.01
93年7月,商品類-非耐久性消費品[不含食物],89.46,2.93
93年7月,商品類-半耐久性消費品,96.1,6.35
93年7月,商品類-耐久性消費品,135.67,0.48
93年7月,服務類,88.82,2.1
93年7月,服務類[不含食物],91.1,1.65
93年7月,服務類-外食費,78.27,4.58
93年7月,服務類-衣著,83.69,0
93年7月,服務類-居住,94.27,-1.22
93年7月,服務類-交通及通訊,98.3,2.44
93年7月,服務類-醫藥保健,84.66,2.23
93年7月,服務類-教養娛樂,83.16,8.07
93年7月,服務類-教養,92.18,0.01
93年7月,服務類-娛樂,75.05,17.5
93年7月,服務類-雜項,90.54,0.11
93年8月,總指數[含食物],87.09,3.7
93年8月,商品類[含食物],84.77,6.43
93年8月,商品類[不含食物],101.54,2.7
93年8月,商品類-非耐久性消費品[含食物],74.01,8.09
93年8月,商品類-非耐久性消費品[不含食物],89.67,1.87
93年8月,商品類-半耐久性消費品,94.43,6.71
93年8月,商品類-耐久性消費品,135.99,0.24
93年8月,服務類,88.81,1.93
93年8月,服務類[不含食物],91.21,1.58
93年8月,服務類-外食費,77.72,3.85
93年8月,服務類-衣著,83.69,0
93年8月,服務類-居住,94.27,-1.09
93年8月,服務類-交通及通訊,97.94,1.67
93年8月,服務類-醫藥保健,84.66,2.23
93年8月,服務類-教養娛樂,83.65,7.75
93年8月,服務類-教養,93.24,1.16
93年8月,服務類-娛樂,75.06,15.3
93年8月,服務類-雜項,90.82,0.42
93年9月,總指數[含食物],87.53,3.77
93年9月,商品類[含食物],85.78,7.1
93年9月,商品類[不含食物],101.83,3.03
93年9月,商品類-非耐久性消費品[含食物],75.26,8.99
93年9月,商品類-非耐久性消費品[不含食物],89.99,2.35
93年9月,商品類-半耐久性消費品,94.59,5.83
93年9月,商品類-耐久性消費品,136.38,1.41
93年9月,服務類,88.85,1.59
93年9月,服務類[不含食物],91.26,1.19
93年9月,服務類-外食費,77.72,3.83
93年9月,服務類-衣著,83.69,0
93年9月,服務類-居住,94.39,-0.98
93年9月,服務類-交通及通訊,97.76,2
93年9月,服務類-醫藥保健,84.66,2.23
93年9月,服務類-教養娛樂,82.79,5.34
93年9月,服務類-教養,93.79,0.77
93年9月,服務類-娛樂,73.06,10.55
93年9月,服務類-雜項,94.03,1.09
93年10月,總指數[含食物],87.93,3.12
93年10月,商品類[含食物],86.9,5.38
93年10月,商品類[不含食物],104.54,2.38
93年10月,商品類-非耐久性消費品[含食物],74.71,7.5
93年10月,商品類-非耐久性消費品[不含食物],89.1,3.51
93年10月,商品類-半耐久性消費品,105.18,3.54
93年10月,商品類-耐久性消費品,136,-0.37
93年10月,服務類,88.73,1.57
93年10月,服務類[不含食物],90.97,1.06
93年10月,服務類-外食費,78.37,4.47
93年10月,服務類-衣著,83.69,0
93年10月,服務類-居住,94.35,-0.94
93年10月,服務類-交通及通訊,97.58,1.88
93年10月,服務類-醫藥保健,84.66,2.23
93年10月,服務類-教養娛樂,82.79,5
93年10月,服務類-教養,93.79,0.77
93年10月,服務類-娛樂,73.07,9.78
93年10月,服務類-雜項,90.81,0.41
93年11月,總指數[含食物],86.73,2.17
93年11月,商品類[含食物],84.28,3.33
93年11月,商品類[不含食物],103.71,2.08
93年11月,商品類-非耐久性消費品[含食物],71.6,4.63
93年11月,商品類-非耐久性消費品[不含食物],88.44,3.55
93年11月,商品類-半耐久性消費品,103.69,2.06
93年11月,商品類-耐久性消費品,135.71,0.06
93年11月,服務類,88.56,1.39
93年11月,服務類[不含食物],90.69,0.7
93年11月,服務類-外食費,78.69,5.17
93年11月,服務類-衣著,83.69,0
93年11月,服務類-居住,94.26,-0.98
93年11月,服務類-交通及通訊,97.73,1.48
93年11月,服務類-醫藥保健,84.66,1.98
93年11月,服務類-教養娛樂,81.88,3.9
93年11月,服務類-教養,93.79,0.77
93年11月,服務類-娛樂,71.42,7.41
93年11月,服務類-雜項,90.76,0.24
93年12月,總指數[含食物],87.08,2.24
93年12月,商品類[含食物],84.6,3.5
93年12月,商品類[不含食物],103.74,2.52
93年12月,商品類-非耐久性消費品[含食物],72.22,4.45
93年12月,商品類-非耐久性消費品[不含食物],89.16,3.58
93年12月,商品類-半耐久性消費品,102.83,2.7
93年12月,商品類-耐久性消費品,135.5,0.86
93年12月,服務類,88.91,1.38
93年12月,服務類[不含食物],90.88,0.73
93年12月,服務類-外食費,79.81,4.9
93年12月,服務類-衣著,83.69,0
93年12月,服務類-居住,94.28,-0.71
93年12月,服務類-交通及通訊,98.17,2.01
93年12月,服務類-醫藥保健,84.66,1.98
93年12月,服務類-教養娛樂,82.36,3.17
93年12月,服務類-教養,93.79,0.77
93年12月,服務類-娛樂,72.29,5.81
93年12月,服務類-雜項,90.76,0.22
94年1月,總指數[含食物],86.67,0.63
94年1月,商品類[含食物],83.46,3.39
94年1月,商品類[不含食物],102.43,2.79
94年1月,商品類-非耐久性消費品[含食物],71.53,3.73
94年1月,商品類-非耐久性消費品[不含食物],89.05,2.78
94年1月,商品類-半耐久性消費品,98.08,3.2
94年1月,商品類-耐久性消費品,136.32,2.39
94年1月,服務類,89.04,-1.15
94年1月,服務類[不含食物],91.28,-2.07
94年1月,服務類-外食費,78.7,4.07
94年1月,服務類-衣著,84.1,0.49
94年1月,服務類-居住,94.45,-0.81
94年1月,服務類-交通及通訊,98.28,1.09
94年1月,服務類-醫藥保健,84.66,1.98
94年1月,服務類-教養娛樂,83.43,1.83
94年1月,服務類-教養,94.25,1.27
94年1月,服務類-娛樂,73.84,2.43
94年1月,服務類-雜項,90.8,-23.9
94年2月,總指數[含食物],87.81,3.55
94年2月,商品類[含食物],82.87,2.18
94年2月,商品類[不含食物],101.58,2.29
94年2月,商品類-非耐久性消費品[含食物],71.33,1.94
94年2月,商品類-非耐久性消費品[不含食物],89.18,1.87
94年2月,商品類-半耐久性消費品,94.98,2.7
94年2月,商品類-耐久性消費品,136.48,2.49
94年2月,服務類,91.41,4.43
94年2月,服務類[不含食物],94.06,4.76
94年2月,服務類-外食費,79.21,2.74
94年2月,服務類-衣著,84.1,0.49
94年2月,服務類-居住,95.3,0.64
94年2月,服務類-交通及通訊,99.35,3.04
94年2月,服務類-醫藥保健,84.66,0.06
94年2月,服務類-教養娛樂,84,7.12
94年2月,服務類-教養,94.25,1.27
94年2月,服務類-娛樂,74.87,13.82
94年2月,服務類-雜項,118.28,30.64
94年3月,總指數[含食物],87.23,2.68
94年3月,商品類[含食物],85.18,4.31
94年3月,商品類[不含食物],101.61,2.25
94年3月,商品類-非耐久性消費品[含食物],74.45,5.44
94年3月,商品類-非耐久性消費品[不含食物],89.45,2.32
94年3月,商品類-半耐久性消費品,95.38,4.25
94年3月,商品類-耐久性消費品,135.47,0.3
94年3月,服務類,88.75,1.58
94年3月,服務類[不含食物],90.79,1.1
94年3月,服務類-外食費,79.29,4.11
94年3月,服務類-衣著,84.1,0.49
94年3月,服務類-居住,94.46,-0.2
94年3月,服務類-交通及通訊,97.89,1.62
94年3月,服務類-醫藥保健,84.66,0.06
94年3月,服務類-教養娛樂,81.81,4.14
94年3月,服務類-教養,94.25,1.7
94年3月,服務類-娛樂,70.92,6.86
94年3月,服務類-雜項,90.78,0.27
94年4月,總指數[含食物],87.86,2.08
94年4月,商品類[含食物],86.55,2.82
94年4月,商品類[不含食物],104.99,0.79
94年4月,商品類-非耐久性消費品[含食物],74.22,4.55
94年4月,商品類-非耐久性消費品[不含食物],89.93,2.36
94年4月,商品類-半耐久性消費品,105.99,-0.19
94年4月,商品類-耐久性消費品,135.13,-0.38
94年4月,服務類,88.86,1.58
94年4月,服務類[不含食物],90.98,1.13
94年4月,服務類-外食費,79.07,4.03
94年4月,服務類-衣著,84.1,0.49
94年4月,服務類-居住,94.47,-0.02
94年4月,服務類-交通及通訊,97.92,1.23
94年4月,服務類-醫藥保健,84.66,0.06
94年4月,服務類-教養娛樂,82.45,4
94年4月,服務類-教養,94.25,1.7
94年4月,服務類-娛樂,72.08,6.53
94年4月,服務類-雜項,90.78,0.27
94年5月,總指數[含食物],88.21,2.71
94年5月,商品類[含食物],87.34,4.52
94年5月,商品類[不含食物],104.68,0.86
94年5月,商品類-非耐久性消費品[含食物],75.5,7.21
94年5月,商品類-非耐久性消費品[不含食物],90.08,2.53
94年5月,商品類-半耐久性消費品,105.05,1.81
94年5月,商品類-耐久性消費品,134.72,-2.43
94年5月,服務類,88.91,1.48
94年5月,服務類[不含食物],91.04,1.17
94年5月,服務類-外食費,79.09,3.28
94年5月,服務類-衣著,84.1,0.49
94年5月,服務類-居住,94.53,0.13
94年5月,服務類-交通及通訊,97.94,0.71
94年5月,服務類-醫藥保健,84.66,0.06
94年5月,服務類-教養娛樂,82.53,4.07
94年5月,服務類-教養,94.25,1.7
94年5月,服務類-娛樂,72.23,6.69
94年5月,服務類-雜項,90.82,0.31
94年6月,總指數[含食物],88.29,2.52
94年6月,商品類[含食物],86.55,3.76
94年6月,商品類[不含食物],104.5,0.92
94年6月,商品類-非耐久性消費品[含食物],74.98,5.77
94年6月,商品類-非耐久性消費品[不含食物],91.36,2.04
94年6月,商品類-半耐久性消費品,102.22,1.93
94年6月,商品類-耐久性消費品,134.98,-1.7
94年6月,服務類,89.59,1.67
94年6月,服務類[不含食物],91.79,1.43
94年6月,服務類-外食費,79.41,2.94
94年6月,服務類-衣著,84.1,0.49
94年6月,服務類-居住,94.6,0.21
94年6月,服務類-交通及通訊,98.86,1.43
94年6月,服務類-醫藥保健,86.9,2.71
94年6月,服務類-教養娛樂,83.31,3.96
94年6月,服務類-教養,94.25,2.01
94年6月,服務類-娛樂,73.64,6.06
94年6月,服務類-雜項,94.96,1.09
94年7月,總指數[含食物],89.04,2.24
94年7月,商品類[含食物],88.11,3.92
94年7月,商品類[不含食物],102.48,0.59
94年7月,商品類-非耐久性消費品[含食物],78.19,5.99
94年7月,商品類-非耐久性消費品[不含食物],90.92,1.63
94年7月,商品類-半耐久性消費品,96.22,0.12
94年7月,商品類-耐久性消費品,135.08,-0.43
94年7月,服務類,89.78,1.08
94年7月,服務類[不含食物],91.97,0.95
94年7月,服務類-外食費,79.62,1.72
94年7月,服務類-衣著,84.1,0.49
94年7月,服務類-居住,94.55,0.3
94年7月,服務類-交通及通訊,99.16,0.87
94年7月,服務類-醫藥保健,88.82,4.91
94年7月,服務類-教養娛樂,84.87,2.06
94年7月,服務類-教養,93.04,0.93
94年7月,服務類-娛樂,77.42,3.16
94年7月,服務類-雜項,90.71,0.19
94年8月,總指數[含食物],89.72,3.02
94年8月,商品類[含食物],89.94,6.1
94年8月,商品類[不含食物],102.25,0.7
94年8月,商品類-非耐久性消費品[含食物],81.24,9.77
94年8月,商品類-非耐久性消費品[不含食物],92.5,3.16
94年8月,商品類-半耐久性消費品,93.8,-0.67
94年8月,商品類-耐久性消費品,133.92,-1.52
94年8月,服務類,89.62,0.91
94年8月,服務類[不含食物],91.84,0.69
94年8月,服務類-外食費,79.38,2.14
94年8月,服務類-衣著,84.1,0.49
94年8月,服務類-居住,94.55,0.3
94年8月,服務類-交通及通訊,99.19,1.28
94年8月,服務類-醫藥保健,89.78,6.05
94年8月,服務類-教養娛樂,84.24,0.71
94年8月,服務類-教養,93.2,-0.04
94年8月,服務類-娛樂,76.16,1.47
94年8月,服務類-雜項,90.71,-0.12
94年9月,總指數[含食物],89.64,2.41
94年9月,商品類[含食物],89.88,4.78
94年9月,商品類[不含食物],102.38,0.54
94年9月,商品類-非耐久性消費品[含食物],81.25,7.96
94年9月,商品類-非耐久性消費品[不含食物],93.05,3.4
94年9月,商品類-半耐久性消費品,93.51,-1.14
94年9月,商品類-耐久性消費品,133.74,-1.94
94年9月,服務類,89.53,0.77
94年9月,服務類[不含食物],91.83,0.62
94年9月,服務類-外食費,78.93,1.56
94年9月,服務類-衣著,84.1,0.49
94年9月,服務類-居住,94.48,0.1
94年9月,服務類-交通及通訊,99.09,1.36
94年9月,服務類-醫藥保健,89.78,6.05
94年9月,服務類-教養娛樂,83.18,0.47
94年9月,服務類-教養,93.81,0.02
94年9月,服務類-娛樂,73.75,0.94
94年9月,服務類-雜項,95,1.03
94年10月,總指數[含食物],90.16,2.54
94年10月,商品類[含食物],91.2,4.95
94年10月,商品類[不含食物],104.35,-0.18
94年10月,商品類-非耐久性消費品[含食物],81.31,8.83
94年10月,商品類-非耐久性消費品[不含食物],91.73,2.95
94年10月,商品類-半耐久性消費品,102.22,-2.81
94年10月,商品類-耐久性消費品,133.52,-1.82
94年10月,服務類,89.48,0.85
94年10月,服務類[不含食物],91.64,0.74
94年10月,服務類-外食費,79.49,1.43
94年10月,服務類-衣著,84.1,0.49
94年10月,服務類-居住,94.48,0.14
94年10月,服務類-交通及通訊,97.46,-0.12
94年10月,服務類-醫藥保健,89.78,6.05
94年10月,服務類-教養娛樂,84.4,1.94
94年10月,服務類-教養,94.58,0.84
94年10月,服務類-娛樂,75.32,3.08
94年10月,服務類-雜項,90.71,-0.11
94年11月,總指數[含食物],88.87,2.47
94年11月,商品類[含食物],88.33,4.81
94年11月,商品類[不含食物],103.51,-0.19
94年11月,商品類-非耐久性消費品[含食物],77.85,8.73
94年11月,商品類-非耐久性消費品[不含食物],91.02,2.92
94年11月,商品類-半耐久性消費品,100.57,-3.01
94年11月,商品類-耐久性消費品,133.51,-1.62
94年11月,服務類,89.32,0.86
94年11月,服務類[不含食物],91.56,0.96
94年11月,服務類-外食費,78.97,0.36
94年11月,服務類-衣著,84.1,0.49
94年11月,服務類-居住,94.48,0.23
94年11月,服務類-交通及通訊,97.56,-0.17
94年11月,服務類-醫藥保健,89.78,6.05
94年11月,服務類-教養娛樂,84.08,2.69
94年11月,服務類-教養,94.58,0.84
94年11月,服務類-娛樂,74.76,4.68
94年11月,服務類-雜項,90.59,-0.19
94年12月,總指數[含食物],88.61,1.76
94年12月,商品類[含食物],87.37,3.27
94年12月,商品類[不含食物],102.71,-0.99
94年12月,商品類-非耐久性消費品[含食物],77.22,6.92
94年12月,商品類-非耐久性消費品[不含食物],91.38,2.49
94年12月,商品類-半耐久性消費品,98.05,-4.65
94年12月,商品類-耐久性消費品,132.59,-2.15
94年12月,服務類,89.57,0.74
94年12月,服務類[不含食物],91.75,0.96
94年12月,服務類-外食費,79.49,-0.4
94年12月,服務類-衣著,84.1,0.49
94年12月,服務類-居住,94.48,0.21
94年12月,服務類-交通及通訊,97.6,-0.58
94年12月,服務類-醫藥保健,89.78,6.05
94年12月,服務類-教養娛樂,84.76,2.91
94年12月,服務類-教養,94.61,0.87
94年12月,服務類-娛樂,75.94,5.05
94年12月,服務類-雜項,90.59,-0.19
95年1月,總指數[含食物],88.88,2.55
95年1月,商品類[含食物],84.89,1.71
95年1月,商品類[不含食物],100.64,-1.75
95年1月,商品類-非耐久性消費品[含食物],75.33,5.31
95年1月,商品類-非耐久性消費品[不含食物],91.57,2.83
95年1月,商品類-半耐久性消費品,91.78,-6.42
95年1月,商品類-耐久性消費品,131.44,-3.58
95年1月,服務類,91.81,3.11
95年1月,服務類[不含食物],94.31,3.32
95年1月,服務類-外食費,80.26,1.98
95年1月,服務類-衣著,85.48,1.64
95年1月,服務類-居住,94.83,0.4
95年1月,服務類-交通及通訊,98.59,0.32
95年1月,服務類-醫藥保健,90.7,7.13
95年1月,服務類-教養娛樂,85.37,2.33
95年1月,服務類-教養,94.72,0.5
95年1月,服務類-娛樂,76.95,4.21
95年1月,服務類-雜項,117.97,29.92
95年2月,總指數[含食物],87.9,0.1
95年2月,商品類[含食物],84.39,1.83
95年2月,商品類[不含食物],100.53,-1.03
95年2月,商品類-非耐久性消費品[含食物],75.06,5.23
95年2月,商品類-非耐久性消費品[不含食物],92.61,3.85
95年2月,商品類-半耐久性消費品,88.46,-6.86
95年2月,商品類-耐久性消費品,133.27,-2.35
95年2月,服務類,90.49,-1.01
95年2月,服務類[不含食物],92.7,-1.45
95年2月,服務類-外食費,80.31,1.39
95年2月,服務類-衣著,86.17,2.46
95年2月,服務類-居住,94.8,-0.52
