年月別,商品性質別分類,原始值,年增率[%]
87年8月,商品類-耐久性消費品,146.56,-
87年8月,服務類,83.72,-
87年8月,服務類[不含食物],85.35,-
87年8月,服務類-外食費,76.31,-
87年8月,服務類-衣著,82.94,-
87年8月,服務類-居住,98.71,-
87年8月,服務類-交通及通訊,85.4,-
87年8月,服務類-醫藥保健,64.62,-
87年8月,服務類-教養娛樂,66.14,-
87年8月,服務類-教養,80.66,-
87年8月,服務類-娛樂,53.6,-
87年8月,服務類-雜項,83.54,-
87年9月,總指數[含食物],82.69,-
87年9月,商品類[含食物],80.73,-
87年9月,商品類[不含食物],100.31,-
87年9月,商品類-非耐久性消費品[含食物],68.56,-
87年9月,商品類-非耐久性消費品[不含食物],86.79,-
87年9月,商品類-半耐久性消費品,89.72,-
87年9月,商品類-耐久性消費品,146.15,-
87年9月,服務類,84.06,-
87年9月,服務類[不含食物],85.51,-
87年9月,服務類-外食費,77.6,-
87年9月,服務類-衣著,81.35,-
87年9月,服務類-居住,98.98,-
87年9月,服務類-交通及通訊,85.16,-
87年9月,服務類-醫藥保健,64.62,-
87年9月,服務類-教養娛樂,66.36,-
87年9月,服務類-教養,82.8,-
87年9月,服務類-娛樂,52.37,-
87年9月,服務類-雜項,83.54,-
87年10月,總指數[含食物],83.09,-
87年10月,商品類[含食物],81.47,-
87年10月,商品類[不含食物],101.56,-
87年10月,商品類-非耐久性消費品[含食物],68.21,-
87年10月,商品類-非耐久性消費品[不含食物],84.74,-
87年10月,商品類-半耐久性消費品,95.73,-
87年10月,商品類-耐久性消費品,146.11,-
87年10月,服務類,84.17,-
87年10月,服務類[不含食物],85.58,-
87年10月,服務類-外食費,77.91,-
87年10月,服務類-衣著,78.16,-
87年10月,服務類-居住,99.16,-
87年10月,服務類-交通及通訊,85.48,-
87年10月,服務類-醫藥保健,64.62,-
87年10月,服務類-教養娛樂,65.01,-
87年10月,服務類-教養,82.79,-
87年10月,服務類-娛樂,50.05,-
87年10月,服務類-雜項,87.35,-
87年11月,總指數[含食物],83.71,-
87年11月,商品類[含食物],83.74,-
87年11月,商品類[不含食物],104.87,-
87年11月,商品類-非耐久性消費品[含食物],69.06,-
87年11月,商品類-非耐久性消費品[不含食物],84.36,-
87年11月,商品類-半耐久性消費品,105.29,-
87年11月,商品類-耐久性消費品,146.5,-
87年11月,服務類,83.53,-
87年11月,服務類[不含食物],85.06,-
87年11月,服務類-外食費,76.59,-
87年11月,服務類-衣著,79.75,-
87年11月,服務類-居住,98.86,-
87年11月,服務類-交通及通訊,86.06,-
87年11月,服務類-醫藥保健,64.62,-
87年11月,服務類-教養娛樂,64.73,-
87年11月,服務類-教養,82.78,-
87年11月,服務類-娛樂,49.58,-
87年11月,服務類-雜項,83.67,-
87年12月,總指數[含食物],83.04,-
87年12月,商品類[含食物],81.99,-
87年12月,商品類[不含食物],105.01,-
87年12月,商品類-非耐久性消費品[含食物],66.49,-
87年12月,商品類-非耐久性消費品[不含食物],83.86,-
87年12月,商品類-半耐久性消費品,105.84,-
87年12月,商品類-耐久性消費品,147.24,-
87年12月,服務類,83.7,-
87年12月,服務類[不含食物],85.29,-
